pos_x,pos_y,map_bank,map_num,in_battle,direction,action,q_value
10,9,0,9,0,0,4,0.0
10,9,0,9,0,0,5,0.0
9,9,0,9,0,2,0,0.5800000000000004
9,9,0,9,0,2,1,0.0
9,9,0,9,0,2,2,0.0
9,9,0,9,0,2,3,0.0
9,9,0,9,0,2,4,0.4830000000000003
9,9,0,9,0,2,5,1.0102871830000006
9,8,0,9,0,0,0,0.0
9,8,0,9,0,0,1,0.0
9,8,0,9,0,0,2,0.0
9,8,0,9,0,0,3,0.6790000000000004
9,8,0,9,0,0,4,0.0
9,8,0,9,0,0,5,0.0
10,8,0,9,0,3,0,0.0
10,8,0,9,0,3,1,0.0
10,8,0,9,0,3,2,0.6770000000000005
10,8,0,9,0,3,3,0.0
10,8,0,9,0,3,4,0.0
10,8,0,9,0,3,5,0.6780000000000004
9,8,0,9,0,2,0,0.0
9,8,0,9,0,2,1,0.0
9,8,0,9,0,2,2,0.7740000000000005
9,8,0,9,0,2,3,0.0
9,8,0,9,0,2,4,0.0
9,8,0,9,0,2,5,1.350324000000001
8,8,0,9,0,2,0,0.8720000000000004
8,8,0,9,0,2,1,0.0
8,8,0,9,0,2,2,0.7730000000000006
8,8,0,9,0,2,3,0.0
8,8,0,9,0,2,4,0.0
8,8,0,9,0,2,5,0.0
8,7,0,9,0,0,0,0.9710000000000005
8,7,0,9,0,0,1,0.0
8,7,0,9,0,0,2,0.0
8,7,0,9,0,0,3,0.0
8,7,0,9,0,0,4,0.0
8,7,0,9,0,0,5,0.0
8,6,0,9,0,0,0,0.0
8,6,0,9,0,0,1,0.9690000000000005
8,6,0,9,0,0,2,1.0670000000000006
8,6,0,9,0,0,3,0.0
8,6,0,9,0,0,4,0.9700000000000005
8,6,0,9,0,0,5,0.0
8,7,0,9,0,1,0,1.0640300000000005
8,7,0,9,0,1,1,0.0
8,7,0,9,0,1,2,0.0
8,7,0,9,0,1,3,0.0
8,7,0,9,0,1,4,0.0
8,7,0,9,0,1,5,0.0
7,6,0,9,0,2,0,0.0
7,6,0,9,0,2,1,1.253000000000001
7,6,0,9,0,2,2,1.6433003747347639
7,6,0,9,0,2,3,2.2367350000000012
7,6,0,9,0,2,4,1.6443003747347635
7,6,0,9,0,2,5,6.081394690505335
8,6,0,9,0,3,0,0.0
8,6,0,9,0,3,1,0.0
8,6,0,9,0,3,2,1.382436765000001
8,6,0,9,0,3,3,1.1650000000000007
8,6,0,9,0,3,4,0.0
8,6,0,9,0,3,5,0.0
9,6,0,9,0,3,0,0.0
9,6,0,9,0,3,1,0.0
9,6,0,9,0,3,2,1.1640000000000006
9,6,0,9,0,3,3,0.0
9,6,0,9,0,3,4,0.0
9,6,0,9,0,3,5,0.0
8,6,0,9,0,2,0,0.0
8,6,0,9,0,2,1,0.0
8,6,0,9,0,2,2,1.2685340000000007
8,6,0,9,0,2,3,0.0
8,6,0,9,0,2,4,0.0
8,6,0,9,0,2,5,0.0
7,7,0,9,0,1,0,1.252000000000001
7,7,0,9,0,1,1,0.0
7,7,0,9,0,1,2,0.0
