pos_x,pos_y,map_bank,map_num,in_battle,action,q_value
10,7,1,0,0,1,3.8900000000000166
10,7,1,0,0,2,1.924999999999998
10,7,1,0,0,3,0.0
10,7,1,0,0,4,4.943275515052731
10,7,1,0,0,5,19.02553941715272
9,7,1,0,0,0,0.0
9,7,1,0,0,1,0.0
9,7,1,0,0,2,2.202398479999997
9,7,1,0,0,3,4.187511355251865
9,7,1,0,0,4,5.756037449520013
9,7,1,0,0,5,2.1050799999999974
7,7,1,0,0,0,0.0
7,7,1,0,0,1,0.0
7,7,1,0,0,2,2.0849999999999973
7,7,1,0,0,3,0.0
7,7,1,0,0,4,1.9949999999999974
7,7,1,0,0,5,2.187504999999997
6,7,1,0,0,0,0.0
6,7,1,0,0,1,2.1799999999999975
6,7,1,0,0,2,0.0
6,7,1,0,0,3,0.0
6,7,1,0,0,4,0.0
6,7,1,0,0,5,0.0
6,8,1,0,0,0,0.0
6,8,1,0,0,1,0.0
6,8,1,0,0,2,2.2749999999999972
6,8,1,0,0,3,0.0
6,8,1,0,0,4,0.0
6,8,1,0,0,5,0.0
5,8,1,0,0,0,2.369999999999997
5,8,1,0,0,1,0.0
5,8,1,0,0,2,0.0
5,8,1,0,0,3,0.0
5,8,1,0,0,4,0.0
5,8,1,0,0,5,0.0
5,7,1,0,0,0,2.464999999999997
5,7,1,0,0,1,0.0
5,7,1,0,0,2,0.0
5,7,1,0,0,3,0.0
5,7,1,0,0,4,0.0
5,7,1,0,0,5,0.0
5,6,1,0,0,0,2.559999999999997
5,6,1,0,0,1,0.0
5,6,1,0,0,2,0.0
5,6,1,0,0,3,0.0
5,6,1,0,0,4,0.0
5,6,1,0,0,5,0.0
5,5,1,0,0,0,0.0
5,5,1,0,0,1,0.0
5,5,1,0,0,2,0.0
5,5,1,0,0,3,6.491537397694723
5,5,1,0,0,4,2.554999999999997
5,5,1,0,0,5,0.0
6,5,1,0,0,0,7.668109234754834
6,5,1,0,0,1,0.0
6,5,1,0,0,2,0.0
6,5,1,0,0,3,8.582920300703169
6,5,1,0,0,4,2.644999999999997
6,5,1,0,0,5,6.713206897694723
6,4,1,0,0,0,8.30672883051437
6,4,1,0,0,1,3.974709109769691
6,4,1,0,0,2,10.920360767612223
6,4,1,0,0,3,24.51694839496649
6,4,1,0,0,4,5.216609234754838
6,4,1,0,0,5,2.729999999999997
7,4,1,0,0,0,8.181076939651748
7,4,1,0,0,1,11.282970300703195
7,4,1,0,0,2,27.65330092346093
7,4,1,0,0,3,11.249598674340685
7,4,1,0,0,4,16.09137688214756
7,4,1,0,0,5,12.284038096057301
8,4,1,0,0,0,30.700260981701582
8,4,1,0,0,1,3.832404795000067
8,4,1,0,0,2,12.776995091115827
8,4,1,0,0,3,12.491504973281337
8,4,1,0,0,4,7.61614887339503
8,4,1,0,0,5,2.9149999999999965
9,4,1,0,0,0,19.740924645545284
9,4,1,0,0,1,11.036876305455348
9,4,1,0,0,2,27.60721406970161
9,4,1,0,0,3,29.798963969579596
9,4,1,0,0,4,47.9731821140265
9,4,1,0,0,5,25.84070711380276
9,5,1,0,0,0,14.840680918739796
9,5,1,0,0,1,0.0
9,5,1,0,0,2,0.0
9,5,1,0,0,3,4.656006582399952
9,5,1,0,0,4,0.0
9,5,1,0,0,5,0.0
9,3,1,0,0,0,24.408145571673057
9,3,1,0,0,1,20.53912161757471
9,3,1,0,0,2,20.348838131044968
9,3,1,0,0,3,24.729019150310833
9,3,1,0,0,4,16.160492398094867
9,3,1,0,0,5,23.852406389314325
8,3,1,0,0,0,0.0
8,3,1,0,0,1,14.762229293070597
8,3,1,0,0,2,7.5120552941999605
8,3,1,0,0,3,31.35491444259053
8,3,1,0,0,4,3.244999999999996
8,3,1,0,0,5,5.6251694344801
7,3,1,0,0,0,3.678783919999997
7,3,1,0,0,1,14.414212177495616
7,3,1,0,0,2,3.4049999999999985
7,3,1,0,0,3,0.0
7,3,1,0,0,4,6.985520408471915
7,3,1,0,0,5,4.501055294199964
6,3,1,0,0,0,7.126598411600003
6,3,1,0,0,1,13.560034799280182
6,3,1,0,0,2,7.879915982670543
6,3,1,0,0,3,4.15156652043872
6,3,1,0,0,4,26.94782722405879
